Element,orbitals,z_coeff,coeff(1s),coeff(2s),coeff(2p)
He,1s,1.4595,1.347900,,
He,3s,5.3244,-0.001613,,
He,2s,2.6298,,-0.100506,
He,2s,1.7504,,-0.270779,
Li,1s,4.3069,0.141279,-0.022416,
Li,1s,2.4573,0.874231,-0.135791,
Li,3s,6.7850,-0.005201,0.000389,
Li,2s,7.4527,-0.002307,-0.000068,
Li,2s,1.8504,0.006985,-0.076544,
Li,2s,0.7667,-0.000305,0.340542,
Li,2s,0.6364,0.000760,0.715708,
Be,1s,5.7531,0.285107,-0.016378,
Be,1s,3.7156,0.474813,-0.155066,
Be,3s,9.9670,-0.001620,0.000426,
Be,3s,3.7128,0.052852,-0.059234,
Be,2s,4.4661,0.243499,-0.031925,
Be,2s,1.2919,0.000106,0.387968,
Be,2s,0.8555,-0.000032,0.685674,
B,1s,7.0178,0.381607,-0.022549,
B,1s,3.9468,0.423958,0.321716,
B,3s,12.7297,-0.001316,-0.000452,
B,3s,2.7646,-0.000822,-0.072032,
B,2s,5.7420,0.237016,-0.050313,
B,2s,1.5436,0.001062,-0.484281,
B,2s,1.0802,-0.000137,-0.518986,
B,2p,5.7416,,,0.007600
B,2p,2.6341,,,0.045137
B,2p,1.8340,,,0.184206
B,2p,1.1919,,,0.394754
B,2p,0.8494,,,0.432795
C,1s,8.4936,0.352872,-0.071727,
C,1s,4.8788,0.473621,0.438307,
C,3s,15.4660,-0.001199,-0.000383,
C,2s,7.0500,0.210887,-0.091194,
C,2s,2.2640,0.000886,-0.393105,
C,2s,1.4747,0.000465,-0.579121,
C,2s,1.1639,-0.000119,-0.126067,
C,2p,7.0500,,,0.006977
C,2p,3.2275,,,0.070877
C,2p,2.1908,,,0.230802
C,2p,1.4413,,,0.411931
C,2p,1.0242,,,0.350701
N,1s,9.9051,0.354839,-0.067498,
N,1s,5.7429,0.472579,0.434142,
N,3s,17.9816,-0.001038,-0.000315,
N,2s,8.3087,0.208492,-0.080331,
N,2s,2.7611,0.001687,-0.374128,
N,2s,1.8223,0.000206,-0.522775,
N,2s,1.4191,0.000064,-0.207735,
N,2p,8.3490,,,0.006323
N,2p,3.8827,,,0.082938
N,2p,2.5920,,,0.260147
N,2p,1.6946,,,0.418361
N,2p,1.1914,,,0.308272
O,1s,11.2970,0.360063,-0.064363,
O,1s,6.5966,0.466625,0.433186,
O,3s,20.5019,-0.000918,-0.000275,
O,2s,9.5546,0.208441,-0.072497,
O,2s,3.2482,0.002018,-0.369900,
O,2s,2.1608,0.000216,-0.512627,
O,2s,1.6411,0.000133,-0.227421,
O,2p,9.6471,,,0.005626
O,2p,4.3323,,,0.126618
O,2p,2.7502,,,0.328966
O,2p,1.7525,,,0.395422
O,2p,1.2473,,,0.231788
F,1s,12.6074,0.377498,-0.058489,
F,1s,7.4101,0.443947,0.426450,
F,3s,23.2475,-0.000797,-0.000274,
F,2s,10.7416,0.213846,-0.063457,
F,2s,3.7543,0.002183,-0.358939,
F,2s,2.5009,0.000335,-0.516660,
F,2s,1.8577,0.000147,-0.239143,
F,2p,11.0134,,,0.004879
F,2p,4.9962,,,0.130794
F,2p,3.1540,,,0.337876
F,2p,1.9722,,,0.396122
F,2p,1.3632,,,0.225374
Ne,1s,13.9074,0.392290,-0.053023,
Ne,1s,8.2187,0.425817,0.419502,
Ne,3s,26.0325,-0.000702,-0.000263,
Ne,2s,11.9249,0.217206,-0.055723,
Ne,2s,4.2635,0.002300,-0.349457,
Ne,2s,2.8357,0.000463,-0.523070,
Ne,2s,2.0715,0.000147,-0.246038,
Ne,2p,12.3239,,,0.004391
Ne,2p,5.6525,,,0.133955
Ne,2p,3.5570,,,0.342978
Ne,2p,2.2056,,,0.395742
Ne,2p,1.4948,,,0.221831
